scale	run	baseline_time_ms	patched_time_ms	baseline_ns_per_pixel	patched_ns_per_pixel	speedup_percent
0.32	median	0.1371	0.1159	17.4549	14.7532	18.313
0.33	1	0.1440	0.1218	17.1967	14.5488	18.200
0.33	2	0.1450	0.1228	17.3105	14.6627	18.058
0.33	3	0.1440	0.1211	17.1967	14.4634	18.898
0.33	median	0.1440	0.1218	17.1967	14.5488	18.200
0.34	1	0.1531	0.1278	17.1252	14.2976	19.777
0.34	2	0.1531	0.1290	17.1252	14.4310	18.670
0.34	3	0.1531	0.1280	17.1252	14.3243	19.553
0.34	median	0.1531	0.1280	17.1252	14.3243	19.553
0.35	1	0.1600	0.1352	17.0046	14.3690	18.342
0.35	2	0.1588	0.1359	16.8778	14.4450	16.842
0.35	3	0.1588	0.1349	16.8778	14.3436	17.668
0.35	median	0.1588	0.1352	16.8778	14.3690	17.460
0.36	1	0.1688	0.1400	17.0678	14.1508	20.614
0.36	2	0.1690	0.1409	17.0919	14.2473	19.966
0.36	3	0.1690	0.1400	17.0919	14.1508	20.784
0.36	median	0.1690	0.1400	17.0919	14.1508	20.784
0.37	1	0.1791	0.1500	17.0494	14.2797	19.396
0.37	2	0.1791	0.1519	17.0494	14.4613	17.897
0.37	3	0.1791	0.1500	17.0494	14.2797	19.396
0.37	median	0.1791	0.1500	17.0494	14.2797	19.396
0.38	1	0.1891	0.1581	17.0299	14.2381	19.608
0.38	2	0.1900	0.1590	17.1158	14.3240	19.490
0.38	3	0.1900	0.1578	17.1158	14.2166	20.393
0.38	median	0.1900	0.1581	17.1158	14.2381	20.211
0.39	1	0.1988	0.1650	16.9226	14.0413	20.520
0.39	2	0.1991	0.1659	16.9429	14.1225	19.971
0.39	3	0.1979	0.1650	16.8415	14.0413	19.943
0.39	median	0.1988	0.1650	16.9226	14.0413	20.520
0.40	1	0.2069	0.1740	16.8414	14.1639	18.904
0.40	2	0.2069	0.1760	16.8414	14.3191	17.615
0.40	3	0.2062	0.1740	16.7832	14.1639	18.493
0.40	median	0.2069	0.1740	16.8414	14.1639	18.904
0.41	1	0.2179	0.1819	16.9742	14.1699	19.791
0.41	2	0.2179	0.1841	16.9742	14.3371	18.394
0.41	3	0.2170	0.1822	16.8999	14.1885	19.110
0.41	median	0.2179	0.1822	16.9742	14.1885	19.634
0.42	1	0.2329	0.1960	17.2111	14.4806	18.856
0.42	2	0.2329	0.1979	17.2111	14.6215	17.711
0.42	3	0.2320	0.1960	17.1406	14.4806	18.369
0.42	median	0.2329	0.1960	17.2111	14.4806	18.856
0.43	1	0.2449	0.2050	17.2264	14.4252	19.419
0.43	2	0.2449	0.2069	17.2264	14.5594	18.318
0.43	3	0.2449	0.2060	17.2264	14.4923	18.866
0.43	median	0.2449	0.2060	17.2264	14.4923	18.866
0.44	1	0.2558	0.2151	17.1165	14.3887	18.958
0.44	2	0.2558	0.2160	17.1165	14.4525	18.433
0.44	3	0.2551	0.2151	17.0686	14.3887	18.625
0.44	median	0.2558	0.2151	17.1165	14.3887	18.958
0.45	1	0.2639	0.2220	16.9708	14.2726	18.905
0.45	2	0.2649	0.2241	17.0321	14.4106	18.191
0.45	3	0.2639	0.2229	16.9708	14.3339	18.396
0.45	median	0.2639	0.2229	16.9708	14.3339	18.396
0.46	1	0.2751	0.2301	17.0152	14.2284	19.586
0.46	2	0.2761	0.2329	17.0741	14.4054	18.526
0.46	3	0.2770	0.2310	17.1331	14.2874	19.918
0.46	median	0.2761	0.2310	17.0741	14.2874	19.505
0.47	1	0.2871	0.2410	16.9355	14.2207	19.090
0.47	2	0.2868	0.2439	16.9214	14.3895	17.595
0.47	3	0.2871	0.2410	16.9355	14.2207	19.090
0.47	median	0.2871	0.2410	16.9355	14.2207	19.090
0.48	1	0.2990	0.2511	16.8818	14.1759	19.088
0.48	2	0.3021	0.2530	17.0568	14.2836	19.415
0.48	3	0.3021	0.2520	17.0568	14.2297	19.868
0.48	median	0.3021	0.2520	17.0568	14.2297	19.868
0.49	1	0.3109	0.2630	16.7817	14.1950	18.223
0.49	2	0.3119	0.2649	16.8332	14.2979	17.732
0.49	3	0.3140	0.2620	16.9490	14.1435	19.836
0.49	median	0.3119	0.2630	16.8332	14.1950	18.585
0.50	1	0.3200	0.2711	16.6645	14.1189	18.030
0.50	2	0.3200	0.2730	16.6645	14.2182	17.205
0.50	3	0.3200	0.2708	16.6645	14.1064	18.134
0.50	median	0.3200	0.2711	16.6645	14.1189	18.030
0.51	1	0.3321	0.2820	16.7011	14.1833	17.752
0.51	2	0.3319	0.2830	16.6891	14.2313	17.270
0.51	3	0.3331	0.2820	16.7490	14.1833	18.090
0.51	median	0.3321	0.2820	16.7011	14.1833	17.752
0.52	1	0.3419	0.2899	16.4767	13.9719	17.927
0.52	2	0.3419	0.2930	16.4767	14.1213	16.680
0.52	3	0.3419	0.2899	16.4767	13.9719	17.927
0.52	median	0.3419	0.2899	16.4767	13.9719	17.927
0.53	1	0.3550	0.2980	16.4430	13.8038	19.119
0.53	2	0.3550	0.2999	16.4430	13.8921	18.362
0.53	3	0.3550	0.2990	16.4430	13.8479	18.740
0.53	median	0.3550	0.2990	16.4430	13.8479	18.740
0.54	1	0.3641	0.3068	16.1879	13.6436	18.648
0.54	2	0.3638	0.3080	16.1773	13.6966	18.112
0.54	3	0.3641	0.3068	16.1879	13.6436	18.648
0.54	median	0.3641	0.3068	16.1879	13.6436	18.648
0.55	1	0.3710	0.3140	15.9685	13.5157	18.148
0.55	2	0.3710	0.3150	15.9685	13.5568	17.790
0.55	3	0.3719	0.3130	16.0095	13.4747	18.812
0.55	median	0.3710	0.3140	15.9685	13.5157	18.148
0.56	1	0.3831	0.3200	15.9734	13.3394	19.746
