scale	run	baseline_time_ms	patched_time_ms	baseline_ns_per_pixel	patched_ns_per_pixel	speedup_percent
1.25	2	1.4410	1.1458	12.0083	9.5487	25.758
1.25	3	1.4348	1.1430	11.9567	9.5248	25.532
1.25	median	1.4410	1.1430	12.0083	9.5248	26.074
1.26	1	1.4720	1.1520	12.0947	9.4658	27.773
1.26	2	1.4660	1.1561	12.0457	9.4991	26.809
1.26	3	1.4720	1.1551	12.0947	9.4912	27.431
1.26	median	1.4720	1.1551	12.0947	9.4912	27.431
1.27	1	1.4920	1.1721	12.0490	9.4651	27.299
1.27	2	1.4839	1.1742	11.9835	9.4824	26.376
1.27	3	1.4842	1.1768	11.9854	9.5036	26.114
1.27	median	1.4842	1.1742	11.9854	9.4824	26.396
1.28	1	1.5059	1.1849	11.9635	9.4140	27.082
1.28	2	1.5039	1.1880	11.9484	9.4386	26.591
1.28	3	1.5030	1.1859	11.9408	9.4216	26.739
1.28	median	1.5039	1.1859	11.9484	9.4216	26.819
1.29	1	1.5230	1.2040	11.8958	9.4042	26.495
1.29	2	1.5230	1.2031	11.8958	9.3967	26.596
1.29	3	1.5230	1.2019	11.8958	9.3874	26.721
1.29	median	1.5230	1.2031	11.8958	9.3967	26.596
1.30	1	1.5368	1.2150	11.8408	9.3610	26.491
1.30	2	1.5359	1.2159	11.8335	9.3683	26.314
1.30	3	1.5361	1.2140	11.8353	9.3536	26.532
1.30	median	1.5361	1.2150	11.8353	9.3610	26.432
1.31	1	1.5740	1.2400	11.9639	9.4250	26.938
1.31	2	1.5731	1.2429	11.9566	9.4468	26.568
1.31	3	1.5781	1.2391	11.9947	9.4178	27.362
1.31	median	1.5740	1.2400	11.9639	9.4250	26.938
1.32	1	1.5960	1.2569	11.9304	9.3960	26.973
1.32	2	1.5950	1.2629	11.9232	9.4406	26.297
1.32	3	1.6010	1.2572	11.9678	9.3978	27.347
1.32	median	1.5960	1.2572	11.9304	9.3978	26.949
1.33	1	1.6241	1.2729	11.9513	9.3670	27.589
1.33	2	1.6189	1.2751	11.9127	9.3828	26.963
1.33	3	1.6201	1.2720	11.9215	9.3600	27.366
1.33	median	1.6201	1.2729	11.9215	9.3670	27.271
1.34	1	1.6401	1.2929	11.8728	9.3598	26.849
1.34	2	1.6320	1.2970	11.8141	9.3891	25.828
1.34	3	1.6360	1.2891	11.8434	9.3322	26.909
1.34	median	1.6360	1.2929	11.8434	9.3598	26.535
1.35	1	1.6570	1.3039	11.8385	9.3158	27.080
1.35	2	1.6460	1.3051	11.7601	9.3243	26.123
1.35	3	1.6479	1.2999	11.7738	9.2868	26.780
1.35	median	1.6479	1.3039	11.7738	9.3158	26.385
1.36	1	1.6801	1.3151	11.8478	9.2738	27.756
1.36	2	1.6818	1.3180	11.8596	9.2940	27.605
1.36	3	1.6770	1.3139	11.8259	9.2654	27.635
1.36	median	1.6801	1.3151	11.8478	9.2738	27.756
1.37	1	1.7018	1.3320	11.8099	9.2438	27.760
1.37	2	1.6971	1.3361	11.7768	9.2719	27.016
1.37	3	1.6971	1.3380	11.7768	9.2851	26.835
1.37	median	1.6971	1.3361	11.7768	9.2719	27.016
1.38	1	1.7152	1.3471	11.7236	9.2074	27.328
1.38	2	1.7209	1.3521	11.7627	9.2416	27.280
1.38	3	1.7178	1.3459	11.7415	9.1993	27.635
1.38	median	1.7178	1.3471	11.7415	9.2074	27.522
1.39	1	1.7381	1.3690	11.6939	9.2108	26.959
1.39	2	1.7409	1.3700	11.7132	9.2172	27.080
1.39	3	1.7388	1.3659	11.6988	9.1899	27.301
1.39	median	1.7388	1.3690	11.6988	9.2108	27.012
1.40	1	1.7531	1.3769	11.6463	9.1469	27.325
1.40	2	1.7531	1.3869	11.6463	9.2134	26.406
1.40	3	1.7600	1.3769	11.6922	9.1469	27.827
1.40	median	1.7531	1.3769	11.6463	9.1469	27.325
1.41	1	1.7910	1.3809	11.7490	9.0589	29.696
1.41	2	1.7960	1.3852	11.7819	9.0871	29.655
1.41	3	1.8070	1.3790	11.8538	9.0464	31.033
1.41	median	1.7960	1.3809	11.7819	9.0589	30.059
1.42	1	1.8141	1.4000	11.7181	9.0431	29.581
1.42	2	1.8189	1.4002	11.7489	9.0446	29.900
1.42	3	1.8139	1.3969	11.7166	9.0230	29.853
1.42	median	1.8141	1.4000	11.7181	9.0431	29.581
1.43	1	1.8451	1.4172	11.7453	9.0211	30.198
1.43	2	1.8530	1.4160	11.7954	9.0135	30.864
1.43	3	1.8380	1.4119	11.6998	8.9877	30.176
1.43	median	1.8451	1.4160	11.7453	9.0135	30.308
1.44	1	1.8668	1.4350	11.7037	8.9968	30.087
1.44	2	1.8659	1.4348	11.6978	8.9953	30.043
1.44	3	1.8680	1.4322	11.7112	8.9788	30.432
1.44	median	1.8668	1.4348	11.7037	8.9953	30.109
1.45	1	1.8849	1.4451	11.6735	8.9493	30.440
1.45	2	1.8840	1.4472	11.6676	8.9625	30.182
1.45	3	1.8840	1.4441	11.6676	8.9434	30.460
1.45	median	1.8840	1.4451	11.6676	8.9493	30.374
1.46	1	1.9119	1.4591	11.6970	8.9270	31.029
1.46	2	1.9031	1.4620	11.6431	8.9445	30.170
1.46	3	1.9021	1.4560	11.6372	8.9081	30.636
1.46	median	1.9031	1.4591	11.6431	8.9270	30.426
1.47	1	1.9300	1.4729	11.6328	8.8780	31.030
1.47	2	1.9360	1.4789	11.6687	8.9139	30.905
1.47	3	1.9321	1.4791	11.6457	8.9154	30.625
1.47	median	1.9321	1.4789	11.6457	8.9139	30.647
1.48	1	1.9588	1.4930	11.6411	8.8725	31.204
1.48	2	1.9650	1.4961	11.6779	8.8909	31.347
1.48	3	1.9460	1.4930	11.5646	8.8725	30.342
1.48	median	1.9588	1.4930	11.6411	8.8725	31.204
1.49	1	1.9701	1.5121	11.5366	8.8545	30.291
1.49	2	1.9741	1.5161	11.5603	8.8783	30.208
1.49	3	1.9791	1.5121	11.5896	8.8545	30.889
1.49	median	1.9741	1.5121	11.5603	8.8545	30.558
1.50	1	1.9829	1.5230	11.4753	8.8138	30.197
1.50	2	2.0020	1.5271	11.5857	8.8372	31.101
1.50	3	1.9879	1.5221	11.5042	8.8082	30.608
1.50	median	1.9879	1.5230	11.5042	8.8138	30.525
1.51	1	2.0251	1.5762	11.5823	9.0147	28.482
1.51	2	2.0261	1.5841	11.5878	9.0597	27.905
1.51	3	2.0411	1.5810	11.6737	9.0420	29.105
1.51	median	2.0261	1.5810	11.5878	9.0420	28.155
1.52	1	2.0499	1.5981	11.5560	9.0091	28.270
1.52	2	2.0530	1.6010	11.5735	9.0252	28.235
1.52	3	2.0530	1.5969	11.5735	9.0024	28.560
1.52	median	2.0530	1.5981	11.5735	9.0091	28.465
1.53	1	2.0721	1.6179	11.5225	8.9969	28.072
1.53	2	2.0881	1.6189	11.6114	9.0022	28.984
1.53	3	2.0738	1.6150	11.5318	8.9810	28.402
1.53	median	2.0738	1.6179	11.5318	8.9969	28.175
1.54	1	2.0969	1.6291	11.4955	8.9311	28.713
1.54	2	2.1181	1.6398	11.6118	8.9899	29.165
1.54	3	2.1069	1.6382	11.5504	8.9807	28.614
1.54	median	2.1069	1.6382	11.5504	8.9807	28.614
1.55	1	2.1141	1.6489	11.4576	8.9366	28.210
1.55	2	2.1150	1.6539	11.4627	8.9637	27.879
1.55	3	2.1210	1.6470	11.4950	8.9262	28.778
1.55	median	2.1150	1.6489	11.4627	8.9366	28.267
1.56	1	2.1439	1.6651	11.4875	8.9222	28.752
1.56	2	2.1389	1.6661	11.4606	8.9273	28.377
1.56	3	2.1410	1.6592	11.4721	8.8903	29.041
1.56	median	2.1410	1.6651	11.4721	8.9222	28.579
1.57	1	2.1720	1.6809	11.4766	8.8815	29.219
1.57	2	2.1751	1.6840	11.4930	8.8978	29.167
1.57	3	2.1839	1.6801	11.5396	8.8777	29.984
1.57	median	2.1751	1.6809	11.4930	8.8815	29.404
1.58	1	2.1861	1.6980	11.3991	8.8543	28.741
1.58	2	2.1870	1.7030	11.4041	8.8804	28.419
1.58	3	2.1961	1.6999	11.4514	8.8642	29.187
1.58	median	2.1870	1.6999	11.4041	8.8642	28.653
1.59	1	2.2368	1.7240	11.5041	8.8666	29.746
1.59	2	2.2309	1.7231	11.4735	8.8617	29.473
1.59	3	2.2309	1.7209	11.4735	8.8507	29.634
1.59	median	2.2309	1.7231	11.4735	8.8617	29.473
1.60	1	2.2371	1.7369	11.3784	8.8342	28.799
1.60	2	2.2500	1.7359	11.4439	8.8294	29.611
1.60	3	2.2469	1.7321	11.4281	8.8100	29.717
1.60	median	2.2469	1.7359	11.4281	8.8294	29.432
1.61	1	2.2681	1.7648	11.4094	8.8776	28.519
1.61	2	2.2700	1.7691	11.4190	8.8992	28.315
1.61	3	2.2810	1.7638	11.4742	8.8728	29.319
1.61	median	2.2700	1.7648	11.4190	8.8776	28.627
1.62	1	2.2931	1.7838	11.3801	8.8528	28.548
1.62	2	2.3019	1.7848	11.4239	8.8575	28.974
1.62	3	2.3220	1.7810	11.5233	8.8386	30.375
1.62	median	2.3019	1.7838	11.4239	8.8528	29.043
1.63	1	2.3310	1.8001	11.4209	8.8194	29.497
1.63	2	2.3198	1.8001	11.3659	8.8194	28.874
1.63	3	2.3251	1.8022	11.3916	8.8299	29.012
1.63	median	2.3251	1.8001	11.3916	8.8194	29.165
1.64	1	2.3639	1.8241	11.4282	8.8187	29.591
1.64	2	2.3561	1.8311	11.3901	8.8521	28.671
1.64	3	2.3601	1.8249	11.4097	8.8221	29.331
1.64	median	2.3601	1.8249	11.4097	8.8221	29.331
1.65	1	2.3708	1.8380	11.3389	8.7904	28.992
1.65	2	2.3730	1.8389	11.3492	8.7950	29.042
1.65	3	2.3770	1.8370	11.3686	8.7858	29.397
1.65	median	2.3730	1.8380	11.3492	8.7904	29.109
1.66	1	2.3990	1.8539	11.3513	8.7724	29.398
1.66	2	2.4011	1.8580	11.3615	8.7916	29.231
1.66	3	2.3961	1.8542	11.3378	8.7735	29.228
1.66	median	2.3990	1.8542	11.3513	8.7735	29.382
1.67	1	2.4312	1.8702	11.3534	8.7336	29.997
1.67	2	2.4319	1.8740	11.3568	8.7514	29.771
1.67	3	2.4319	1.8740	11.3568	8.7514	29.771
1.67	median	2.4319	1.8740	11.3568	8.7514	29.771
1.68	1	2.4519	1.8890	11.3088	8.7125	29.800
1.68	2	2.4660	1.8928	11.3736	8.7301	30.280
1.68	3	2.4478	1.8902	11.2901	8.7180	29.503
1.68	median	2.4519	1.8902	11.3088	8.7180	29.718
1.69	1	2.4662	1.9052	11.2281	8.6740	29.445
1.69	2	2.4810	1.9140	11.2954	8.7141	29.622
1.69	3	2.4819	1.9109	11.2997	8.7000	29.882
1.69	median	2.4810	1.9109	11.2954	8.7000	29.832
1.70	1	2.4970	1.9269	11.2500	8.6816	29.584
1.70	2	2.4951	1.9312	11.2414	8.7009	29.198
1.70	3	2.5048	1.9240	11.2854	8.6687	30.186
1.70	median	2.4970	1.9269	11.2500	8.6816	29.584
1.71	1	2.5370	1.9279	11.3123	8.5961	31.598
1.71	2	2.5470	1.9329	11.3570	8.6184	31.776
1.71	3	2.5461	1.9262	11.3527	8.5887	32.182
1.71	median	2.5461	1.9279	11.3527	8.5961	32.068
1.72	1	2.5752	1.9469	11.3368	8.5711	32.268
1.72	2	2.5630	1.9510	11.2833	8.5889	31.371
1.72	3	2.5699	1.9460	11.3137	8.5669	32.063
1.72	median	2.5699	1.9469	11.3137	8.5711	31.998
1.73	1	2.5880	1.9648	11.2567	8.5460	31.719
1.73	2	2.5890	1.9741	11.2609	8.5864	31.148
1.73	3	2.6090	1.9650	11.3480	8.5470	32.772
1.73	median	2.5890	1.9650	11.2609	8.5470	31.753
1.74	1	2.6140	1.9870	11.2274	8.5342	31.558
1.74	2	2.6240	1.9920	11.2704	8.5557	31.730
1.74	3	2.6300	1.9910	11.2960	8.5516	32.092
1.74	median	2.6240	1.9910	11.2704	8.5516	31.793
1.75	1	2.6329	2.0020	11.1941	8.5119	31.511
1.75	2	2.6400	2.0051	11.2245	8.5251	31.664
1.75	3	2.6438	2.0039	11.2407	8.5200	31.933
1.75	median	2.6400	2.0039	11.2245	8.5200	31.743
1.76	1	2.6720	2.0199	11.2463	8.5017	32.283
1.76	2	2.6700	2.0280	11.2382	8.5358	31.660
1.76	3	2.6650	2.0201	11.2172	8.5027	31.925
1.76	median	2.6700	2.0201	11.2382	8.5027	32.172
1.77	1	2.6910	2.0380	11.1870	8.4723	32.042
1.77	2	2.7080	2.0418	11.2574	8.4881	32.626
1.77	3	2.6960	2.0418	11.2078	8.4881	32.041
1.77	median	2.6960	2.0418	11.2078	8.4881	32.041
1.78	1	2.7099	2.0580	11.1338	8.4557	31.672
1.78	2	2.7368	2.0640	11.2445	8.4802	32.597
1.78	3	2.7230	2.0580	11.1877	8.4557	32.310
1.78	median	2.7230	2.0580	11.1877	8.4557	32.310
1.79	1	2.7368	2.0840	11.1076	8.4582	31.323
1.79	2	2.7480	2.0881	11.1531	8.4747	31.605
1.79	3	2.7609	2.0812	11.2054	8.4466	32.662
1.79	median	2.7480	2.0840	11.1531	8.4582	31.861
1.80	1	2.7540	2.0940	11.0676	8.4154	31.516
1.80	2	2.7640	2.1040	11.1078	8.4557	31.365
1.80	3	2.7771	2.0962	11.1605	8.4241	32.483
1.80	median	2.7640	2.0962	11.1078	8.4241	31.857
1.81	1	2.8009	2.1651	11.1464	8.6160	29.369
1.81	2	2.8129	2.1689	11.1939	8.6312	29.691
1.81	3	2.8141	2.1639	11.1986	8.6113	30.045
1.81	median	2.8129	2.1651	11.1939	8.6160	29.920
1.82	1	2.8250	2.1820	11.1075	8.5793	29.469
1.82	2	2.8481	2.1882	11.1985	8.6037	30.159
1.82	3	2.8439	2.1861	11.1816	8.5952	30.091
1.82	median	2.8439	2.1861	11.1816	8.5952	30.091
1.83	1	2.8641	2.2030	11.1334	8.5635	30.010
1.83	2	2.8648	2.2089	11.1362	8.5866	29.693
1.83	3	2.8698	2.2039	11.1557	8.5672	30.214
1.83	median	2.8648	2.2039	11.1362	8.5672	29.986
1.84	1	2.9020	2.2271	11.1472	8.5545	30.308
1.84	2	2.9199	2.2318	11.2159	8.5728	30.831
1.84	3	2.8970	2.2280	11.1279	8.5582	30.026
1.84	median	2.9020	2.2280	11.1472	8.5582	30.252
1.85	1	2.9089	2.2449	11.0670	8.5409	29.577
1.85	2	2.9249	2.2500	11.1278	8.5599	29.999
1.85	3	2.9161	2.2440	11.0942	8.5372	29.951
1.85	median	2.9161	2.2449	11.0942	8.5409	29.895
1.86	1	2.9452	2.2590	11.0984	8.5127	30.375
1.86	2	2.9480	2.2628	11.1092	8.5271	30.281
1.86	3	2.9509	2.2590	11.1200	8.5127	30.628
1.86	median	2.9480	2.2590	11.1092	8.5127	30.501
1.87	1	2.9712	2.2810	11.0657	8.4951	30.260
1.87	2	2.9919	2.2831	11.1430	8.5031	31.046
1.87	3	2.9800	2.2819	11.0986	8.4986	30.593
1.87	median	2.9800	2.2819	11.0986	8.4986	30.593
1.88	1	2.9950	2.3019	11.0313	8.4785	30.109
1.88	2	3.0072	2.3069	11.0761	8.4969	30.355
1.88	3	3.0119	2.3000	11.0936	8.4715	30.952
1.88	median	3.0072	2.3019	11.0761	8.4785	30.637
1.89	1	3.0479	2.3270	11.0967	8.4719	30.982
1.89	2	3.0401	2.3201	11.0681	8.4467	31.035
1.89	3	3.0398	2.3229	11.0672	8.4571	30.863
1.89	median	3.0401	2.3229	11.0681	8.4571	30.873
1.90	1	3.0508	2.3401	11.0039	8.4404	30.372
1.90	2	3.0551	2.3441	11.0194	8.4550	30.330
1.90	3	3.0611	2.3410	11.0409	8.4438	30.757
1.90	median	3.0551	2.3410	11.0194	8.4438	30.503
1.91	1	3.1040	2.3770	11.0920	8.4943	30.582
1.91	2	3.1130	2.3830	11.1244	8.5156	30.636
1.91	3	3.1040	2.3792	11.0920	8.5020	30.463
1.91	median	3.1040	2.3792	11.0920	8.5020	30.463
1.92	1	3.1271	2.3980	11.0477	8.4719	30.404
1.92	2	3.1500	2.4040	11.1286	8.4930	31.033
1.92	3	3.1509	2.4009	11.1319	8.4820	31.241
1.92	median	3.1500	2.4009	11.1286	8.4820	31.203
1.93	1	3.1710	2.4199	11.0821	8.4574	31.034
1.93	2	3.1688	2.4240	11.0746	8.4716	30.726
1.93	3	3.1579	2.4240	11.0363	8.4716	30.274
1.93	median	3.1688	2.4240	11.0746	8.4716	30.726
1.94	1	3.1829	2.4400	10.9988	8.4316	30.447
1.94	2	3.1939	2.4478	11.0367	8.4587	30.477
1.94	3	3.2020	2.4500	11.0647	8.4662	30.693
1.94	median	3.1939	2.4478	11.0367	8.4587	30.477
1.95	1	3.2120	2.4571	10.9987	8.4139	30.721
1.95	2	3.2270	2.4650	11.0501	8.4409	30.911
1.95	3	3.2198	2.4610	11.0257	8.4270	30.838
1.95	median	3.2198	2.4610	11.0257	8.4270	30.838
1.96	1	3.2520	2.4772	11.0354	8.4060	31.280
1.96	2	3.2499	2.4829	11.0281	8.4254	30.891
1.96	3	3.2508	2.4810	11.0314	8.4190	31.030
1.96	median	3.2508	2.4810	11.0314	8.4190	31.030
1.97	1	3.2730	2.5020	10.9836	8.3961	30.818
1.97	2	3.2771	2.5048	10.9972	8.4057	30.830
1.97	3	3.2980	2.4989	11.0676	8.3857	31.982
1.97	median	3.2771	2.5020	10.9972	8.3961	30.980
1.98	1	3.3019	2.5201	10.9642	8.3682	31.022
1.98	2	3.3100	2.5342	10.9911	8.4149	30.615
1.98	3	3.3009	2.5232	10.9610	8.3785	30.823
1.98	median	3.3019	2.5232	10.9642	8.3785	30.861
1.99	1	3.3300	2.5418	10.9364	8.3478	31.009
1.99	2	3.3410	2.5518	10.9725	8.3807	30.926
1.99	3	3.3410	2.5501	10.9725	8.3752	31.012
1.99	median	3.3410	2.5501	10.9725	8.3752	31.012
2.00	1	3.3579	2.5640	10.9306	8.3462	30.965
2.00	2	3.3579	2.5730	10.9306	8.3757	30.504
2.00	3	3.3660	2.5620	10.9570	8.3400	31.379
2.00	median	3.3579	2.5640	10.9306	8.3462	30.965
2.01	1	3.3979	2.5630	10.9637	8.2697	32.577
2.01	2	3.3929	2.5690	10.9476	8.2889	32.075
2.01	3	3.4051	2.5651	10.9868	8.2766	32.745
2.01	median	3.3979	2.5651	10.9637	8.2766	32.466
2.02	1	3.4189	2.5861	10.9123	8.2542	32.203
2.02	2	3.4289	2.5890	10.9442	8.2633	32.443
2.02	3	3.4249	2.5921	10.9313	8.2732	32.129
2.02	median	3.4249	2.5890	10.9313	8.2633	32.287
2.03	1	3.4521	2.6059	10.9053	8.2322	32.471
2.03	2	3.4659	2.6121	10.9490	8.2518	32.686
2.03	3	3.4661	2.6140	10.9497	8.2578	32.598
2.03	median	3.4659	2.6121	10.9490	8.2518	32.686
2.04	1	3.4831	2.6309	10.8856	8.2225	32.388
2.04	2	3.5059	2.6371	10.9571	8.2419	32.944
2.04	3	3.4950	2.6300	10.9228	8.2195	32.889
2.04	median	3.4950	2.6309	10.9228	8.2225	32.840
2.05	1	3.5040	2.6541	10.8568	8.2233	32.025
2.05	2	3.5181	2.6529	10.9003	8.2196	32.614
2.05	3	3.5200	2.6498	10.9062	8.2100	32.840
2.05	median	3.5181	2.6529	10.9003	8.2196	32.614
2.06	1	3.5372	2.6670	10.8654	8.1922	32.631
2.06	2	3.5470	2.6760	10.8954	8.2201	32.546
2.06	3	3.5548	2.6681	10.9196	8.1959	33.232
2.06	median	3.5470	2.6681	10.8954	8.1959	32.937
2.07	1	3.5789	2.6908	10.8777	8.1784	33.005
2.07	2	3.5920	2.6979	10.9175	8.2001	33.139
2.07	3	3.5901	2.6970	10.9117	8.1972	33.115
2.07	median	3.5901	2.6970	10.9117	8.1972	33.115
2.08	1	3.6159	2.7230	10.8802	8.1935	32.791
2.08	2	3.6211	2.7199	10.8960	8.1842	33.135
2.08	3	3.6199	2.7180	10.8924	8.1784	33.185
2.08	median	3.6199	2.7199	10.8924	8.1842	33.091
2.09	1	3.6430	2.7399	10.8476	8.1584	32.962
2.09	2	3.6590	2.7480	10.8952	8.1826	33.151
2.09	3	3.6609	2.7399	10.9008	8.1584	33.614
2.09	median	3.6590	2.7399	10.8952	8.1584	33.546
2.10	1	3.6671	2.7549	10.8274	8.1341	33.111
2.10	2	3.6900	2.7640	10.8950	8.1609	33.502
2.10	3	3.6850	2.7552	10.8802	8.1348	33.749
2.10	median	3.6850	2.7552	10.8802	8.1348	33.749
2.11	1	3.7091	2.7950	10.8595	8.1832	32.705
2.11	2	3.7289	2.8000	10.9175	8.1979	33.174
2.11	3	3.7229	2.8000	10.9000	8.1979	32.961
2.11	median	3.7229	2.8000	10.9000	8.1979	32.961
2.12	1	3.7432	2.8210	10.8466	8.1743	32.691
2.12	2	3.7539	2.8250	10.8777	8.1860	32.882
2.12	3	3.7520	2.8200	10.8721	8.1715	33.049
2.12	median	3.7520	2.8210	10.8721	8.1743	33.003
2.13	1	3.7901	2.8441	10.8755	8.1609	33.263
2.13	2	3.7880	2.8501	10.8694	8.1780	32.910
2.13	3	3.8061	2.8532	10.9214	8.1869	33.401
2.13	median	3.7901	2.8501	10.8755	8.1780	32.985
2.14	1	3.8221	2.8820	10.8554	8.1854	32.619
2.14	2	3.8350	2.8751	10.8920	8.1658	33.386
2.14	3	3.8359	2.8720	10.8947	8.1570	33.563
2.14	median	3.8350	2.8751	10.8920	8.1658	33.386
2.15	1	3.8359	2.8861	10.8052	8.1296	32.912
2.15	2	3.8590	2.8899	10.8703	8.1403	33.537
2.15	3	3.8521	2.8861	10.8508	8.1296	33.473
2.15	median	3.8521	2.8861	10.8508	8.1296	33.473
2.16	1	3.8640	2.9051	10.7953	8.1163	33.008
2.16	2	3.8750	2.9140	10.8259	8.1409	32.982
2.16	3	3.8850	2.9111	10.8539	8.1329	33.457
2.16	median	3.8750	2.9111	10.8259	8.1329	33.112
2.17	1	3.9198	2.9359	10.8410	8.1197	33.515
2.17	2	3.9129	2.9352	10.8219	8.1178	33.311
2.17	3	3.9110	2.9290	10.8166	8.1006	33.528
2.17	median	3.9129	2.9352	10.8219	8.1178	33.311
2.18	1	3.9389	2.9509	10.7899	8.0835	33.481
2.18	2	3.9470	2.9559	10.8122	8.0972	33.530
2.18	3	3.9451	2.9590	10.8069	8.1057	33.325
2.18	median	3.9451	2.9559	10.8069	8.0972	33.465
2.19	1	3.9859	2.9781	10.8099	8.0767	33.841
2.19	2	3.9861	2.9831	10.8105	8.0903	33.623
2.19	3	3.9890	2.9790	10.8183	8.0793	33.901
2.19	median	3.9861	2.9790	10.8105	8.0793	33.805
2.20	1	3.9911	2.9950	10.7371	8.0574	33.258
2.20	2	4.0112	3.0050	10.7910	8.0843	33.481
2.20	3	4.0059	3.0031	10.7769	8.0792	33.391
2.20	median	4.0059	3.0031	10.7769	8.0792	33.391
2.21	1	4.0321	3.0410	10.7607	8.1157	32.591
2.21	2	4.0421	3.0448	10.7874	8.1259	32.753
2.21	3	4.0431	3.0360	10.7900	8.1023	33.172
2.21	median	4.0421	3.0410	10.7874	8.1157	32.920
2.22	1	4.0700	3.0611	10.7551	8.0888	32.963
2.22	2	4.0810	3.0699	10.7841	8.1121	32.938
2.22	3	4.0839	3.0701	10.7916	8.1128	33.019
2.22	median	4.0810	3.0699	10.7841	8.1121	32.938
2.23	1	4.1058	3.0880	10.7485	8.0840	32.960
2.23	2	4.1170	3.0980	10.7778	8.1102	32.892
2.23	3	4.1192	3.0839	10.7834	8.0734	33.567
2.23	median	4.1170	3.0880	10.7778	8.0840	33.323
2.24	1	4.1440	3.1190	10.7427	8.0856	32.862
2.24	2	4.1509	3.1269	10.7606	8.1060	32.749
2.24	3	4.1649	3.1159	10.7971	8.0776	33.667
2.24	median	4.1509	3.1190	10.7606	8.0856	33.084
2.25	1	4.1630	3.1290	10.7074	8.0479	33.046
2.25	2	4.1821	3.1400	10.7564	8.0761	33.188
2.25	3	4.1790	3.1290	10.7485	8.0479	33.557
2.25	median	4.1790	3.1290	10.7485	8.0479	33.557
2.26	1	4.2028	3.1588	10.7252	8.0609	33.052
2.26	2	4.2119	3.1638	10.7483	8.0737	33.127
2.26	3	4.2121	3.1509	10.7489	8.0409	33.678
2.26	median	4.2119	3.1588	10.7483	8.0609	33.339
2.27	1	4.2381	3.1791	10.7113	8.0347	33.313
2.27	2	4.2520	3.1829	10.7462	8.0443	33.588
2.27	3	4.2551	3.1822	10.7541	8.0425	33.716
2.27	median	4.2520	3.1822	10.7462	8.0425	33.618
2.28	1	4.2789	3.2029	10.7157	8.0211	33.594
2.28	2	4.2920	3.2079	10.7486	8.0337	33.794
2.28	3	4.3039	3.2151	10.7784	8.0516	33.867
2.28	median	4.2920	3.2079	10.7486	8.0337	33.794
2.29	1	4.3080	3.2380	10.6858	8.0317	33.045
2.29	2	4.3280	3.2389	10.7355	8.0340	33.626
2.29	3	4.3321	3.2279	10.7455	8.0068	34.205
2.29	median	4.3280	3.2380	10.7355	8.0317	33.664
2.30	1	4.3368	3.2439	10.6747	7.9846	33.691
2.30	2	4.3590	3.2609	10.7293	8.0263	33.677
2.30	3	4.3609	3.2511	10.7340	8.0022	34.138
2.30	median	4.3590	3.2511	10.7293	8.0022	34.079
2.31	1	4.3781	3.2852	10.6937	8.0242	33.268
2.31	2	4.3881	3.2902	10.7182	8.0365	33.369
2.31	3	4.3871	3.2930	10.7159	8.0435	33.224
2.31	median	4.3871	3.2902	10.7159	8.0365	33.340
2.32	1	4.4191	3.3228	10.6924	8.0399	32.992
2.32	2	4.4279	3.3200	10.7137	8.0330	33.371
2.32	3	4.4322	3.3131	10.7241	8.0162	33.780
2.32	median	4.4279	3.3200	10.7137	8.0330	33.371
2.33	1	4.4761	3.3460	10.7336	8.0236	33.775
2.33	2	4.4792	3.3560	10.7411	8.0476	33.470
2.33	3	4.4780	3.3422	10.7382	8.0145	33.985
2.33	median	4.4780	3.3460	10.7382	8.0236	33.833
2.34	1	4.5071	3.3729	10.7072	8.0128	33.626
2.34	2	4.5290	3.3760	10.7593	8.0202	34.153
2.34	3	4.5280	3.3882	10.7570	8.0491	33.642
2.34	median	4.5280	3.3760	10.7570	8.0202	34.124
2.35	1	4.5459	3.3839	10.7183	7.9784	34.341
2.35	2	4.5459	3.3929	10.7183	7.9998	33.982
2.35	3	4.5531	3.3998	10.7352	8.0161	33.920
2.35	median	4.5459	3.3929	10.7183	7.9998	33.982
2.36	1	4.5519	3.4029	10.6519	7.9633	33.762
2.36	2	4.5640	3.4208	10.6804	8.0051	33.420
2.36	3	4.5679	3.4158	10.6893	7.9934	33.727
2.36	median	4.5640	3.4158	10.6804	7.9934	33.615
2.37	1	4.5960	3.4420	10.6561	7.9806	33.525
2.37	2	4.6060	3.4392	10.6793	7.9740	33.927
2.37	3	4.6098	3.4468	10.6882	7.9917	33.741
2.37	median	4.6060	3.4420	10.6793	7.9806	33.816
2.38	1	4.6299	3.4680	10.6408	7.9706	33.501
2.38	2	4.6442	3.4690	10.6737	7.9728	33.876
2.38	3	4.6558	3.4699	10.7006	7.9750	34.177
2.38	median	4.6442	3.4690	10.6737	7.9728	33.876
2.39	1	4.6880	3.5129	10.6762	8.0000	33.452
2.39	2	4.6971	3.5009	10.6968	7.9728	34.166
2.39	3	4.6940	3.4921	10.6898	7.9527	34.417
2.39	median	4.6940	3.5009	10.6898	7.9728	34.078
2.40	1	4.7178	3.5100	10.6649	7.9346	34.410
2.40	2	4.7259	3.5200	10.6833	7.9572	34.260
2.40	3	4.7221	3.5081	10.6746	7.9303	34.605
2.40	median	4.7221	3.5100	10.6746	7.9346	34.532
2.41	1	4.7400	3.5591	10.6364	7.9866	33.178
