# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 718  of event 'cpu-clock'
# Event count (approx.): 7252525180
#
# Overhead  Command  Shared Object       Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  ..................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.28%  python   libtorch_cpu.so     [.] c10::FunctionSchema::FunctionSchema(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<c10::Argument, std::allocator<c10::Argument> >, std::vector<c10::Argument, std::allocator<c10::Argument> >, bool, bool)
     0.28%  python   libtorch_cpu.so     [.] c10::getDispatchTableIndexForDispatchKey(c10::DispatchKey)
     0.28%  python   libtorch_cpu.so     [.] c10::impl::OperatorEntry::deregisterKernel_(c10::Dispatcher const&, std::optional<c10::DispatchKey>, std::_List_iterator<c10::impl::AnnotatedKernel>)
     0.28%  python   libtorch_cpu.so     [.] c10::impl::OperatorEntry::hasKernelForAnyDispatchKey(c10::DispatchKeySet) const
     0.28%  python   libtorch_cpu.so     [.] c10::impl::OperatorEntry::missingKernel() const
     0.28%  python   libtorch_cpu.so     [.] function_traits<at::native::(anonymous namespace)::add_clamp_kernel(at::TensorIterator&, c10::Scalar const&, c10::Scalar const&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(at::vec::RVV::Vectorized<float>, at::vec::RVV::Vectorized<float>)#1}&>::ArgsTuple at::native::RVV::dereference_vec_impl<function_traits<at::native::(anonymous namespace)::add_clamp_kernel(at::TensorIterator&, c10::Scalar const&, c10::Scalar const&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(at::vec::RVV::Vectorized<float>, at::vec::RVV::Vectorized<float>)#1}&>, 0ul, 1ul>(char* restrict*, function_traits<at::native::(anonymous namespace)::add_clamp_kernel(at::TensorIterator&, c10::Scalar const&, c10::Scalar const&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(at::vec::RVV::Vectorized<float>, at::vec::RVV::Vectorized<float>)#1}&>::result_type const&, unsigned long, long, std::integer_sequence<unsigned long, 0ul, 1ul>) [clone .isra.0]
     0.28%  python   libtorch_cpu.so     [.] int register_conv_params<3>()@plt
     0.28%  python   libtorch_cpu.so     [.] torch::jit::Lexer::lexRaw(bool)
     0.28%  python   libtorch_cpu.so     [.] torch::jit::StringCordView::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) const
     0.28%  python   libtorch_python.so  [.] torch::jit::SwapFunctionalLinear(torch::jit::Module&)@plt
     0.14%  python    (deleted)          [.] 0x00000000000037fa
     0.14%  python    (deleted)          [.] 0x00000000000038c8
     0.14%  python    (deleted)          [.] 0x000000000000691a
     0.14%  python    (deleted)          [.] 0x0000000000006986
     0.14%  python    (deleted)          [.] 0x0000000000007086
     0.14%  python    (deleted)          [.] 0x000000000000a042
     0.14%  python    (deleted)          [.] 0x000000000000a114
     0.14%  python    (deleted)          [.] 0x000000000000a118
     0.14%  python    (deleted)          [.] 0x000000000000bfb0
     0.14%  python    (deleted)          [.] 0x000000000001a112
     0.14%  python    (deleted)          [.] 0x000000000001a124
     0.14%  python    (deleted)          [.] 0x000000000001a34a
     0.14%  python    (deleted)          [.] 0x000000000002fd2e
     0.14%  python    (deleted)          [.] 0x000000000002fde4
     0.14%  python    (deleted)          [.] 0x000000000002ffb6
     0.14%  python    (deleted)          [.] 0x00000000000695d0
     0.14%  python    (deleted)          [.] 0x00000000000695d8
     0.14%  python    (deleted)          [.] 0x00000000000701ec
     0.14%  python    (deleted)          [.] 0x00000000000701f2
     0.14%  python    (deleted)          [.] 0x00000000000701f4
     0.14%  python    (deleted)          [.] 0x0000000000070294
     0.14%  python    (deleted)          [.] 0x0000000000071184
     0.14%  python    (deleted)          [.] 0x00000000000711ce
     0.14%  python    (deleted)          [.] 0x00000000000711d2
     0.14%  python    (deleted)          [.] 0x0000000000071296
     0.14%  python    (deleted)          [.] 0x0000000000071368
     0.14%  python    (deleted)          [.] 0x000000000007137e
     0.14%  python    (deleted)          [.] 0x0000000000071994
     0.14%  python    (deleted)          [.] 0x0000000000071c30
     0.14%  python    (deleted)          [.] 0x0000000000071f72
     0.14%  python    (deleted)          [.] 0x0000000000071f78
     0.14%  python    (deleted)          [.] 0x00000000000721d8
     0.14%  python    (deleted)          [.] 0x000000000007299e
     0.14%  python    (deleted)          [.] 0x00000000000729be
     0.14%  python    (deleted)          [.] 0x00000000000729c2
     0.14%  python    (deleted)          [.] 0x0000000000072a6e
     0.14%  python    (deleted)          [.] 0x0000000000072d44
     0.14%  python    (deleted)          [.] 0x0000000000072d4e
     0.14%  python    (deleted)          [.] 0x0000000000072d5a
     0.14%  python    (deleted)          [.] 0x0000000000072d6c
     0.14%  python    (deleted)          [.] 0x0000000000072daa
     0.14%  python    (deleted)          [.] 0x000000000007523e
     0.14%  python    (deleted)          [.] 0x0000000000075260
     0.14%  python    (deleted)          [.] 0x00000000000752b0
     0.14%  python    (deleted)          [.] 0x0000000000075472
     0.14%  python    (deleted)          [.] 0x0000000000075488
     0.14%  python    (deleted)          [.] 0x000000000007577e
     0.14%  python    (deleted)          [.] 0x0000000000075782
     0.14%  python    (deleted)          [.] 0x0000000000075790
     0.14%  python    (deleted)          [.] 0x0000000000075798
     0.14%  python    (deleted)          [.] 0x0000000000076040
     0.14%  python    (deleted)          [.] 0x00000000000769e6
     0.14%  python    (deleted)          [.] 0x0000000000077c10
     0.14%  python    (deleted)          [.] 0x000000000007a702
     0.14%  python    (deleted)          [.] 0x000000000007a780
     0.14%  python    (deleted)          [.] 0x00000000000a3390
     0.14%  python    (deleted)          [.] 0x00000000000a3694
     0.14%  python    (deleted)          [.] 0x00000000000a45d8
     0.14%  python    (deleted)          [.] 0x00000000000ad036
     0.14%  python    (deleted)          [.] 0x00000000000aeff8
     0.14%  python    (deleted)          [.] 0x00000000000dc172
     0.14%  python    (deleted)          [.] 0x00000000000e0882
     0.14%  python    (deleted)          [.] 0x00000000000e88aa
     0.14%  python    (deleted)          [.] 0x00000000000eff74
     0.14%  python    (deleted)          [.] 0x00000000000f03c4
     0.14%  python    (deleted)          [.] 0x00000000000f0fd4
     0.14%  python    (deleted)          [.] 0x000000000012d68a
     0.14%  python    (deleted)          [.] 0x000000000012d68e
     0.14%  python    (deleted)          [.] 0x000000000012d690
     0.14%  python    (deleted)          [.] 0x000000000012d6a4
     0.14%  python    (deleted)          [.] 0x000000000012d6be
     0.14%  python    (deleted)          [.] 0x000000000012d6cc
     0.14%  python    (deleted)          [.] 0x000000000012d6d0
     0.14%  python    (deleted)          [.] 0x000000000012d70a
     0.14%  python    (deleted)          [.] 0x000000000012dea6
     0.14%  python    (deleted)          [.] 0x000000000012decc
     0.14%  python    (deleted)          [.] 0x000000000012e0c4
     0.14%  python    (deleted)          [.] 0x000000000012eaf2
     0.14%  python    (deleted)          [.] 0x000000000012eb36
     0.14%  python    (deleted)          [.] 0x000000000012eb40
     0.14%  python    (deleted)          [.] 0x000000000012eb66
     0.14%  python    (deleted)          [.] 0x000000000012eb7a
     0.14%  python    (deleted)          [.] 0x000000000012eb88
     0.14%  python    (deleted)          [.] 0x000000000012f4a0
     0.14%  python    (deleted)          [.] 0x000000000012f54a
     0.14%  python    (deleted)          [.] 0x000000000012fa6a
     0.14%  python    (deleted)          [.] 0x000000000012fa9e
     0.14%  python    (deleted)          [.] 0x000000000012fe68
     0.14%  python    (deleted)          [.] 0x000000000012fe74
